MAPNAME,DESCR,MAINROCK,SIMPLENAME,KEYGRPNAME,TEXTCODE,FlowchartGroup
Taringatura Group sandstone,Sandstone with minor tuff  mudstone  tuff  shellbeds and granitic conglomerate.,sandstone,Basement (Eastern Province) sedimentary rocks,Murihiku Terrane,lTt,Group 15
Undifferentiated Pleistocene to Holocene glacier deposits,Undifferentiated unsorted angular to rounded sandy to bouldery till.,till,Pleistocene   Holocene glacier deposits,Pleistocene   Holocene sediments,uQt,Group 15
OIS1 (Holocene) glacier deposits,Unconsolidated  unweathered  angular  bouldery till  mixtures of gravel/sand/silt/clay  in cirque or upper valley moraines.,till,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unconsolidated  unweathered  angular  bouldery till  mixtures of gravel/sand/silt/clay  in cirque or upper valley moraines.,till,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
Undifferentiated Otakou Group sandstone,Calcareous sandstone  sandy limestone and minor tuff.,sandstone,Neogene sedimentary rocks,Otakou Group,Mo,Group 15
Taratu Formation (Onekakara Group),Non marine quartz pebble conglomerate (locally silica cemented) sandstone  siltstone  mudstone and coal.,sandstone,Late Cretaceous   Paleogene sedimentary rocks,Onekakara Group,lKt,Group 15
OIS1 (Holocene) stable dune deposits,Loose well sorted sand and silt deposited mainly by aeolian processes  may show dune forms.,sand,Holocene windblown deposits,Holocene sediments,Q1d,Group 09
OIS1 (Holocene) river deposits,Unconsolidated gravel  sand and peat in modern stream beds  flood plains with minor overbank swamps.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
Heartbreak Formation (Takitimu Subgroup),Sheet and pillow lava  pillow breccia and sandstone.,basalt,Basement (Eastern Province) igneous rocks,Brook Street Terrane,Ybt,Group 18
OIS1 (Holocene) scree deposits,Angular  unsorted  loose  sandy to bouldery gravel in active to inactive scree  colluvium  and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
OIS8 (Middle Pleistocene) river deposits,Weathered greywacke gravels overlain by loess greywacke schist gravel in terrace remnants in Clutha catchment.,gravel,Middle Pleistocene river deposits,Late Pleistocene sediments,mQa,Group 6
OIS8 (Middle Pleistocene) outwash deposits,Slightly weathered bouldery to pebbley outwash gravels in terrace remnants.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q8a,Group 16
Dunedin Volcanic Group first main phase extrusives,Extensive flows of olivine basalt  plagioclase basalt  basanite  kaiwekite and trachyandesite.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md1,Group 09
Dunedin Volcanic Group conglomerate,Generally lenticular deposits of conglomerate in formed stream channels  finer deposits in ephemeral lakes.,conglomerate,Neogene sedimentary rocks,Dunedin Volcanic Group,Md,Group 15
Early Pleistocene fan deposits,Weathered sandy gravel in very old fans.,gravel,Early Pleistocene river deposits,Early Pleistocene sediments,eQa,Group 10
OIS8 (Middle Pleistocene) river deposits,Weathered greywacke gravels overlain by loess greywacke schist gravel in terrace remnants in Clutha catchment.,gravel,Middle Pleistocene river deposits,Late Pleistocene sediments,mQa,Group 6
Dunedin Volcanic Group third main phase extrusives,Extensive flows of phonolite  basalt and trachyandesite with minor tuff.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md3,Group 09
OIS8 (Middle Pleistocene) fan deposits,Weathered locally derived sandy gravel in high level fans.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q8a,Group 10
Stephens Subgroup (Maitai Group),Siltstone  conspicuous sandstone bands  minor conglomerate and limestone  and red and green siltstone.,siltstone,Basement (Eastern Province) sedimentary rocks,Dun Mountain   Maitai Terrane,Tms,Group 15
OIS1 (Holocene) river deposits,Unconsolidated gravel  sand and peat in modern stream beds  flood plains with minor overbank swamps.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS10 (Middle Pleistocene) river deposits,Weathered greywacke gravels overlain by loess greywacke schist gravel in terrace remnants in Clutha catchment.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q8a,Group 6
Undifferentiated Otakou Group sandstone,Calcareous sandstone  sandy limestone and minor tuff.,sandstone,Neogene sedimentary rocks,Otakou Group,Mo,Group 15
Taratu Formation (Onekakara Group),Non marine quartz pebble conglomerate (locally silica cemented) sandstone  siltstone  mudstone and coal.,sandstone,Late Cretaceous   Paleogene sedimentary rocks,Onekakara Group,lKt,Group 15
Point Burn Formation conglomerate  breccia and sandstone (Waiau Group),Conglomerate and breccia interbedded with cross bedded sandstone  minor carbonaceous mudstone  rare coal.,sandstone,Paleogene sedimentary rocks,Waiau Group,Owp,Group 15
OIS2 (Late Pleistocene) river deposits,Sandy greywacke gravel overlain by loess  schist greywacke quartz sandy gravel in the Clutha catchment.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
OIS2 (Late Pleistocene) river deposits,Poorly consolidated  slightly weathered sandy quartz   schist   or volcaniclastic derived gravel and sand.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
OIS1 (Holocene) swamp deposits,Massive to bedded fibrous peat swamp deposit with interbedded sand  mud  and gravel.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
Dunedin Volcanic Group initial phase extrusives,Trachytic flows and tuffs.,trachyte,Neogene igneous rocks,Dunedin Volcanic Group,Md0,Group 09
OIS2 OIS1 (Late Pleistocene to Holocene) river deposits,Sandy gravel in low terraces.,gravel,Late Pleistocene   Holocene river deposits,Late Pleistocene   Holocene sediments,Q1a,Group 6
OIS1 (Holocene) scree deposits,Angular  unsorted  loose  sandy to bouldery gravel in active to inactive scree  colluvium  and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
OIS6 (Middle Pleistocene) river deposits,Weathered greywacke gravel overlain by loess  greywacke schist gravel remnants in Clutha catchment.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,Group 6
Early Pleistocene fan deposits,Weathered sandy gravel in very old fans.,gravel,Early Pleistocene river deposits,Early Pleistocene sediments,eQa,Group 10
OIS4 (Late Pleistocene) outwash deposits,Sandy to bouldery outwash gravels.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,Group 12
OIS1 (Holocene) swamp deposits,Poorly consolidated to firm interbedded mud and peat with minor sand. Inland peats lack sand.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
OIS1 (Holocene) scree deposits,Angular unsorted sandy gravel forming loose scree and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
Deep Cove Gneiss,Banded interlayered quartzofeldspathic  biotite and hornblende gneiss  minor calc silicate  marble  pelitic schist and orthogneiss sheets.,gneiss,Basement (Western Province) metamorphic rocks,Takaka Terrane,&dc,Group 18
Undifferentiated Caples Terrane sandstone and siltstone,Massive to well bedded grey  red and green sandstone with subordinate mudstone and granule conglomerate.,sandstone,Basement (Eastern Province) sedimentary rocks,Caples Terrane,Yc,Group 15
OIS1 (Holocene) fan deposits,Loose  commonly angular  boulders  gravel  sand and silt forming modern alluvial fans  may include debris flow and avalanche deposits.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
Early Pleistocene river deposits,Deeply weathered clay rich sandy gravel in degraded high terrace remnants.,gravel,Early Pleistocene river deposits,Early Pleistocene sediments,eQa,Group 6
OIS1 (Holocene) fan deposits,Loose  commonly angular  boulders  gravel  sand and silt forming modern alluvial fans  may include debris flow and avalanche deposits.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
Dunedin Volcanic Group third main phase extrusives,Extensive flows of phonolite  basalt and trachyandesite with minor tuff.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md3,Group 09
OIS1 (Holocene) scree deposits,Angular  unsorted  loose  sandy to bouldery gravel in active to inactive scree  colluvium  and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
North Range Group siltstone,Well bedded siltstone  sandstone  tuff  shellbeds and conglomerate.,siltstone,Basement (Eastern Province) sedimentary rocks,Murihiku Terrane,mTn,Group 15
White Hill Intrusives (Brook Street Volcanics Group),Concordant sills of gabbroic and dioritic to granophyric composition.,gabbro,Basement (Eastern Province) igneous rocks,Brook Street Terrane,Ybl,Group 17
OIS6 (Middle Pleistocene) river deposits,Weathered greywacke gravel overlain by loess  greywacke schist gravel remnants in Clutha catchment.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,Group 6
OIS10 (Middle Pleistocene) outwash deposits,Weathered bouldery to sandy outwash gravel on Paddock Hill.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,mQa,Group 12
Undifferentiated Pleistocene to Holocene glacier deposits,Undifferentiated unsorted angular to rounded sandy to bouldery till.,till,Pleistocene   Holocene glacier deposits,Pleistocene   Holocene sediments,uQt,Group 15
OIS1 (Holocene) swamp deposits,Poorly consolidated to firm interbedded mud and peat with minor sand. Inland peats lack sand.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
OIS1 (Holocene) glacier deposits,Unconsolidated  unweathered  angular  bouldery till  mixtures of gravel/sand/silt/clay  in cirque or upper valley moraines.,till,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) scree deposits,Angular  unsorted  loose  sandy to bouldery gravel in active to inactive scree  colluvium  and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
Monowai Formation (Waiau Group),Conglomerate and pebbly mudstone in slump sheets with graded sandstone and mudstone.,conglomerate,Neogene sedimentary rocks,Waiau Group,Mwm,Group 15
Undifferentiated Caples Terrane sandstone and siltstone,Massive to well bedded grey  red and green sandstone with subordinate mudstone and granule conglomerate.,sandstone,Basement (Eastern Province) sedimentary rocks,Caples Terrane,Yc,Group 15
Deep Cove Gneiss,Banded interlayered quartzofeldspathic  biotite and hornblende gneiss  minor calc silicate  marble  pelitic schist and orthogneiss sheets.,gneiss,Basement (Western Province) metamorphic rocks,Takaka Terrane,&dc,Group 18
Duncraigen Formation (Waiau Group),Graded sandstone and mudstone.,sandstone,Neogene sedimentary rocks,Waiau Group,Mwd,Group 15
Dunedin Volcanic Group initial phase extrusives,Trachytic flows and tuffs.,trachyte,Neogene igneous rocks,Dunedin Volcanic Group,Md0,Group 09
OIS6 (Middle Pleistocene) river deposits,Weathered greywacke gravel overlain by loess  greywacke schist gravel remnants in Clutha catchment.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,Group 6
Taratu Formation (Onekakara Group),Non marine quartz pebble conglomerate (locally silica cemented) sandstone  siltstone  mudstone and coal.,sandstone,Late Cretaceous   Paleogene sedimentary rocks,Onekakara Group,lKt,Group 15
Waicoe Formation mudstone (Waiau Group),Mudstone with graded limestone  breccia and sandstone interbeds.,mudstone,Paleogene   Neogene sedimentary rocks,Waiau Group,Oww,Group 15
Dunedin Volcanic Group first main phase extrusives,Extensive flows of olivine basalt  plagioclase basalt  basanite  kaiwekite and trachyandesite.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md1,Group 09
Undifferentiated Pleistocene to Holocene glacier deposits,Undifferentiated unsorted angular to rounded sandy to bouldery till.,till,Pleistocene   Holocene glacier deposits,Pleistocene   Holocene sediments,uQt,Group 15
OIS1 (Holocene) river deposits,Unconsolidated gravel  sand and peat in modern stream beds  flood plains with minor overbank swamps.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS2 (Late Pleistocene) river deposits,Poorly consolidated  slightly weathered sandy quartz   schist   or volcaniclastic derived gravel and sand.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
OIS1 (Holocene) river deposits,Unconsolidated gravel  sand and peat in modern stream beds  flood plains with minor overbank swamps.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
White Hill Intrusives (Brook Street Volcanics Group),Concordant sills of gabbroic and dioritic to granophyric composition.,gabbro,Basement (Eastern Province) igneous rocks,Brook Street Terrane,Ybl,Group 17
Five Fingers Pluton tonalite  schist and amphibolite (Separation Point Suite),Variably foliated tonalite  quartz diorite and granodiorite interlayered with psammitic and amphibolitic schists at 1 100m scale.,tonalite,Basement (Median Batholith) igneous rocks,Tuhua Intrusives,Ksg,Group 18
OIS2 (Late Pleistocene) outwash deposits,Sandy to bouldery outwash gravels.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 12
Malaspina Pluton two pyroxene diorite and monzodiorite (Western Fiordland Orthogneiss),Variably foliated to gneissic  two pyroxene±hornblende±garnet diorite and monzodiorite  cut by garnet±clinopyroxene reaction zones  granulite facies.,diorite,Basement (Median Batholith) igneous rocks,Tuhua Intrusives,Kwm,Group 18
OIS1 (Holocene) swamp deposits,Massive to bedded fibrous peat swamp deposit with interbedded sand  mud  and gravel.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
OIS1 (Holocene) fan deposits,Loose  commonly angular  boulders  gravel  sand and silt forming modern alluvial fans  may include debris flow and avalanche deposits.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
OIS8 (Middle Pleistocene) outwash deposits,Slightly weathered bouldery to pebbley outwash gravels in terrace remnants.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q8a,Group 16
Waicoe Formation mudstone (Waiau Group),Mudstone with graded limestone  breccia and sandstone interbeds.,mudstone,Paleogene   Neogene sedimentary rocks,Waiau Group,Oww,Group 15
Dunedin Volcanic Group first main phase pyroclastics,Vent filling breccia and agglomerate.,breccia,Neogene sedimentary rocks,Dunedin Volcanic Group,Md1,Group 15
