mu,de,mr,sn,KEYGRPNAME,uc,finalCategory
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Undifferentiated Kerikeri Volcanic Group tephra and tuff of South Auckland Volcanic Field,Tephra and poorly consolidated to welded ash  lapilli  scoria splatter and lithic tuff from eruptions within the South Auckland Volcanic Field  intermixed with rhyolitic and andesitic tephra from the Taupo Volcanic Zone.,tephra,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Undifferentiated Kerikeri Volcanic Group tephra and tuff of South Auckland Volcanic Field,Tephra and poorly consolidated to welded ash  lapilli  scoria splatter and lithic tuff from eruptions within the South Auckland Volcanic Field  intermixed with rhyolitic and andesitic tephra from the Taupo Volcanic Zone.,tephra,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Undifferentiated Kerikeri Volcanic Group tephra and tuff of South Auckland Volcanic Field,Tephra and poorly consolidated to welded ash  lapilli  scoria splatter and lithic tuff from eruptions within the South Auckland Volcanic Field  intermixed with rhyolitic and andesitic tephra from the Taupo Volcanic Zone.,tephra,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,19_undifSed
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,19_undifSed
Undifferentiated Kerikeri Volcanic Group basalt scoria of South Auckland Volcanic Field,Red or red brown to dark grey  poorly sorted  vesicular  pebble  to boulder sized ejecta of basaltic  basanitic or hawaiitic composition.,basalt,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
OIS1 (Holocene) river deposits of Takaanini Formation,Variably sorted non marine gravel  sand  and mud deposits in fluvial systems.,mud,Holocene river deposits,Holocene sediments,Q1a,03_fluvial
OIS1 (Holocene) river deposits of Takaanini Formation,Variably sorted non marine gravel  sand  and mud deposits in fluvial systems.,mud,Holocene river deposits,Holocene sediments,Q1a,03_fluvial
Undifferentiated Kerikeri Volcanic Group basalt lava of South Auckland Volcanic Field,Fine grained and coarse grained  porphyritic  olivine basalt  basanite and hawaiite lava flows.,basalt,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Undifferentiated Kerikeri Volcanic Group tephra and tuff of South Auckland Volcanic Field,Tephra and poorly consolidated to welded ash  lapilli  scoria splatter and lithic tuff from eruptions within the South Auckland Volcanic Field  intermixed with rhyolitic and andesitic tephra from the Taupo Volcanic Zone.,tephra,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Undifferentiated Kerikeri Volcanic Group tephra and tuff of South Auckland Volcanic Field,Tephra and poorly consolidated to welded ash  lapilli  scoria splatter and lithic tuff from eruptions within the South Auckland Volcanic Field  intermixed with rhyolitic and andesitic tephra from the Taupo Volcanic Zone.,tephra,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
OIS1 (Holocene) river deposits of Takaanini Formation,Variably sorted non marine gravel  sand  and mud deposits in fluvial systems.,mud,Holocene river deposits,Holocene sediments,Q1a,03_fluvial
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Predominantly pumiceous sand  silt  mud and clay  with interbedded gravel and peat.,mud,Middle Pleistocene   Late Pleistocene river and hill slope deposits,Middle Pleistocene   Late Pleistocene sediments,lQa,05_alluvial
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Predominantly pumiceous sand  silt  mud and clay  with interbedded gravel and peat.,mud,Middle Pleistocene   Late Pleistocene river and hill slope deposits,Middle Pleistocene   Late Pleistocene sediments,lQa,05_alluvial
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Predominantly pumiceous sand  silt  mud and clay  with interbedded gravel and peat.,mud,Middle Pleistocene   Late Pleistocene river and hill slope deposits,Middle Pleistocene   Late Pleistocene sediments,lQa,05_alluvial
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Predominantly pumiceous sand  silt  mud and clay  with interbedded gravel and peat.,mud,Middle Pleistocene   Late Pleistocene river and hill slope deposits,Middle Pleistocene   Late Pleistocene sediments,lQa,05_alluvial
OIS1 (Holocene) river deposits of Takaanini Formation,Variably sorted non marine gravel  sand  and mud deposits in fluvial systems.,mud,Holocene river deposits,Holocene sediments,Q1a,03_fluvial
Undifferentiated Kerikeri Volcanic Group tephra and tuff of South Auckland Volcanic Field,Tephra and poorly consolidated to welded ash  lapilli  scoria splatter and lithic tuff from eruptions within the South Auckland Volcanic Field  intermixed with rhyolitic and andesitic tephra from the Taupo Volcanic Zone.,tephra,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Predominantly pumiceous sand  silt  mud and clay  with interbedded gravel and peat.,mud,Middle Pleistocene   Late Pleistocene river and hill slope deposits,Middle Pleistocene   Late Pleistocene sediments,lQa,05_alluvial
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Predominantly pumiceous sand  silt  mud and clay  with interbedded gravel and peat.,mud,Middle Pleistocene   Late Pleistocene river and hill slope deposits,Middle Pleistocene   Late Pleistocene sediments,lQa,05_alluvial
Undifferentiated Kerikeri Volcanic Group tephra and tuff of South Auckland Volcanic Field,Tephra and poorly consolidated to welded ash  lapilli  scoria splatter and lithic tuff from eruptions within the South Auckland Volcanic Field  intermixed with rhyolitic and andesitic tephra from the Taupo Volcanic Zone.,tephra,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
OIS1 (Holocene) river deposits of Takaanini Formation,Variably sorted non marine gravel  sand  and mud deposits in fluvial systems.,mud,Holocene river deposits,Holocene sediments,Q1a,03_fluvial
OIS1 (Holocene) river deposits of Takaanini Formation,Variably sorted non marine gravel  sand  and mud deposits in fluvial systems.,mud,Holocene river deposits,Holocene sediments,Q1a,03_fluvial
Undifferentiated Kerikeri Volcanic Group basalt scoria of South Auckland Volcanic Field,Red or red brown to dark grey  poorly sorted  vesicular  pebble  to boulder sized ejecta of basaltic  basanitic or hawaiitic composition.,basalt,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
OIS1 (Holocene) engineered fill,Landfill areas containing recompacted clay  to gravel sized materials  sometimes including demolition debris.,fill,Holocene human made deposits,Holocene anthropic deposits,Q1n,99_unknown
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
Undifferentiated Kerikeri Volcanic Group basalt scoria of South Auckland Volcanic Field,Red or red brown to dark grey  poorly sorted  vesicular  pebble  to boulder sized ejecta of basaltic  basanitic or hawaiitic composition.,basalt,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Undifferentiated Kerikeri Volcanic Group basalt scoria of South Auckland Volcanic Field,Red or red brown to dark grey  poorly sorted  vesicular  pebble  to boulder sized ejecta of basaltic  basanitic or hawaiitic composition.,basalt,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Undifferentiated Kerikeri Volcanic Group tephra and tuff of South Auckland Volcanic Field,Tephra and poorly consolidated to welded ash  lapilli  scoria splatter and lithic tuff from eruptions within the South Auckland Volcanic Field  intermixed with rhyolitic and andesitic tephra from the Taupo Volcanic Zone.,tephra,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Undifferentiated Kerikeri Volcanic Group tephra and tuff of South Auckland Volcanic Field,Tephra and poorly consolidated to welded ash  lapilli  scoria splatter and lithic tuff from eruptions within the South Auckland Volcanic Field  intermixed with rhyolitic and andesitic tephra from the Taupo Volcanic Zone.,tephra,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Undifferentiated Kerikeri Volcanic Group tephra and tuff of South Auckland Volcanic Field,Tephra and poorly consolidated to welded ash  lapilli  scoria splatter and lithic tuff from eruptions within the South Auckland Volcanic Field  intermixed with rhyolitic and andesitic tephra from the Taupo Volcanic Zone.,tephra,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Early Pleistocene parabolic dunes,Weakly cemented and uncemented quartzofeldspathic to mafic rich  dune bedded sand and clay rich sandy paleosols  with lenses of carbonaceous mudstone  muddy sandstone and lignite.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
OIS1 (Holocene) river deposits of Takaanini Formation,Variably sorted non marine gravel  sand  and mud deposits in fluvial systems.,mud,Holocene river deposits,Holocene sediments,Q1a,03_fluvial
